effect_size,derivative,SAFE_family,vars_required,cloud_filtering_rules,special_warnings,default_safe_family,calc_type,formula,label,exec_formula,lower_filter,upper_filter,paired_design,reference,escalc_name,must_use_SAFE,equations_used,n_versions,default
reciprocal,first,1_normal,"n, x, sd","","","",point_estimate,yi_first <- 1 / x,yi_first,yi_first <- 1 / input$x,"","",FALSE,"","",no,"",1,yes
lnRoM,first,2_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",x1 > 0 & x2 > 0,lnRoM cannot accept x1 or x2 ≤ 0.,"",point_estimate,yi_first <- log(x1 / x2),yi_first,yi_first <- log(input$x1 / input$x2),"x1=0, x2=0","x1=Inf, x2=Inf",FALSE,"",ROM,no,"",2,no
lnRoM,second,2_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",x1 > 0 & x2 > 0,lnRoM cannot accept x1 or x2 ≤ 0.,"",point_estimate,yi_second <- log(x1 / x2) + 0.5 * (sd1^2/(n1 * x1^2) - sd2^2/(n2 * x2^2)),yi_second,yi_second <- log(input$x1 / input$x2) + 0.5 * (input$sd1^2/(input$n1 * input$x1^2) - input$sd2^2/(input$n2 * input$x2^2)),"x1=0, x2=0","x1=Inf, x2=Inf",FALSE,"",ROM,no,"",2,yes
SMD,first,4_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",v1 > 0 & v2 > 0,"SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,point_estimate,yi_first <- (x1 - x2) / sqrt( ((n1 - 1) * sd1^2 + (n2 - 1) * sd2^2) / (n1 + n2 - 2) ),yi_first,yi_first <- (input$x1 - input$x2) / sqrt( ((input$n1 - 1) * input$sd1^2 + (input$n2 - 1) * input$sd2^2) / (input$n1 + input$n2 - 2) ),"x1=-Inf, x2=-Inf, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",FALSE,"",SMD,no,"",2,no
SMD,second,4_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",v1 > 0 & v2 > 0,"SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,point_estimate,"J <- ifelse((n1 + n2 - 2) <= 1, NA_real_, exp(lgamma((n1 + n2 - 2)/2) - log(sqrt((n1 + n2 - 2)/2)) - lgamma(((n1 + n2 - 2) - 1)/2))); yi_second <- J * ((x1 - x2) / sqrt( ((n1 - 1) * sd1^2 + (n2 - 1) * sd2^2) / (n1 + n2 - 2) ) )",yi_second,"J <- ifelse((input$n1 + input$n2 - 2) <= 1, NA_real_, exp(lgamma((input$n1 + input$n2 - 2)/2) - log(sqrt((input$n1 + input$n2 - 2)/2)) - lgamma(((input$n1 + input$n2 - 2) - 1)/2))); yi_second <- J * ((input$x1 - input$x2) / sqrt( ((input$n1 - 1) * input$sd1^2 + (input$n2 - 1) * input$sd2^2) / (input$n1 + input$n2 - 2) ) )","x1=-Inf, x2=-Inf, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",FALSE,"",SMD,no,"",2,yes
SMD,first,4_multivariate_normal,"x1, x2, sd1, sd2, r, n",v1 > 0 & v2 > 0,"SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,point_estimate,yi_first <- (x1 - x2) / sqrt( ((n - 1) * sd1^2 + (n - 1) * sd2^2) / (2*n - 2) ),yi_first,yi_first <- (input$x1 - input$x2) / sqrt( ((input$n - 1) * input$sd1^2 + (input$n - 1) * input$sd2^2) / (2*input$n - 2) ),"x1=-Inf, x2=-Inf, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",TRUE,"",SMD,no,"",2,no
SMD,second,4_multivariate_normal,"x1, x2, sd1, sd2, r, n",v1 > 0 & v2 > 0,"SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,point_estimate,yi_second <- (1 - 3 / (4 * (2*n - 2) - 1) ) * ((x1 - x2) / sqrt( ((n - 1) * sd1^2 + (n - 1) * sd2^2) / (2*n - 2) ) ),yi_second,yi_second <- (1 - 3 / (4 * (2*input$n - 2) - 1) ) * ((input$x1 - input$x2) / sqrt( ((input$n - 1) * input$sd1^2 + (input$n - 1) * input$sd2^2) / (2*input$n - 2) ) ),"x1=-Inf, x2=-Inf, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",TRUE,"",SMD,no,"",2,yes
SMD,first,4_multivariate_normal_wishart,"x1, x2, sd1, sd2, n1, n2","","SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",yes,point_estimate,yi_first <- (x1 - x2) / sqrt( ((n1 - 1) * sd1^2 + (n2 - 1) * sd2^2) / (n1 + n2 - 2) ),yi_first,yi_first <- (input$x1 - input$x2) / sqrt( ((input$n1 - 1) * input$sd1^2 + (input$n2 - 1) * input$sd2^2) / (input$n1 + input$n2 - 2) ),"x1=-Inf, x2=-Inf","x1=Inf, x2=Inf",FALSE,"",SMD,no,"",2,no
SMD,second,4_multivariate_normal_wishart,"x1, x2, sd1, sd2, n1, n2","","SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",yes,point_estimate,"J <- ifelse((n1 + n2 - 2) <= 1, NA_real_, exp(lgamma((n1 + n2 - 2)/2) - log(sqrt((n1 + n2 - 2)/2)) - lgamma(((n1 + n2 - 2) - 1)/2))); yi_second <- J * ((x1 - x2) / sqrt( ((n1 - 1) * sd1^2 + (n2 - 1) * sd2^2) / (n1 + n2 - 2) ) )",yi_second,"J <- ifelse((input$n1 + input$n2 - 2) <= 1, NA_real_, exp(lgamma((input$n1 + input$n2 - 2)/2) - log(sqrt((input$n1 + input$n2 - 2)/2)) - lgamma(((input$n1 + input$n2 - 2) - 1)/2))); yi_second <- J * ((input$x1 - input$x2) / sqrt( ((input$n1 - 1) * input$sd1^2 + (input$n2 - 1) * input$sd2^2) / (input$n1 + input$n2 - 2) ) )","x1=-Inf, x2=-Inf","x1=Inf, x2=Inf",FALSE,"",SMD,no,"",2,yes
SMD,first,4_multivariate_normal_wishart,"x1, x2, sd1, sd2, r, n","","SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",yes,point_estimate,yi_first <- (x1 - x2) / sqrt( ((n - 1) * sd1^2 + (n - 1) * sd2^2) / (2*n - 2) ),yi_first,yi_first <- (input$x1 - input$x2) / sqrt( ((input$n - 1) * input$sd1^2 + (input$n - 1) * input$sd2^2) / (2*input$n - 2) ),"","",TRUE,"",SMD,no,"",2,no
